;q_0,005;q_0,01;q_0,015;q_0,02;q_0,025;q_0,03;q_0,035;q_0,04;q_0,045;q_0,05
Hour 1;20,46446297;18,50854506;17,27738289;16,3372419;15,59182237;14,95602329;14,42225715;13,93589158;13,49474276;13,0737419
Hour 2;21,38101357;19,3181186;18,0142891;17,25501781;17,29082872;17,12406462;16,78597987;16,42968257;16,08821991;15,94789543
Hour 3;20,12671133;19,89370858;20,20955911;19,63958865;19,01712086;18,48716252;18,3019266;18,18398315;17,93093624;17,50573669
Hour 4;20,4658278;18,5175402;19,76075607;19,70659795;19,30544685;18,92857485;18,33367463;18,20269407;17,9933052;17,76172029
Hour 5;20,75288317;18,75015145;17,53101374;16,58039368;15,84737228;15,20827153;14,6564725;14,65336325;14,76076924;14,70435212
Hour 6;21,41018093;19,34392958;18,04618426;17,09728806;16,34237709;15,68301794;15,10604082;15,33642213;15,31594827;15,24818313
Hour 7;22,92768808;20,74294102;19,34361364;18,3262359;17,48669337;16,78851405;16,42327511;16,28033034;15,99421815;15,72018024
Hour 8;22,84811268;20,61814581;19,24852847;18,19386429;17,51633335;17,57955325;17,36261232;17,12006707;17,11957592;16,98707498
Hour 9;22,60708235;20,41696543;19,03806072;18,01414493;17,27476352;17,38811871;18,07529059;18,19052852;18,17343171;18,02953994
Hour 10;20,84447633;18,86029065;17,57584658;16,64429859;15,89067958;15,25834328;14,69833085;14,21843847;13,93379499;13,68235764
Hour 11;21,0809028;19,11044982;17,82187346;16,84954759;16,48204328;16,17669446;15,83990732;15,49758093;15,12424031;14,74960142
Hour 12;21,14541551;19,08200543;17,87483674;16,92279027;16,49342119;17,4834973;17,82195046;17,98848808;17,91555896;17,63120647
Hour 13;21,33522732;19,28032905;18,73892296;19,07998099;19,30444007;19,56422427;19,94882135;20,05820878;19,86458803;19,6761509
Hour 14;38,86386737;33,5788511;29,59004344;26,98036347;25,10293281;23,43068775;22,29652491;21,22450261;20,61369311;19,97354713
Hour 15;23,04529614;20,83784833;19,89320967;20,84168773;20,62451232;20,18067309;19,9045035;19,41027394;18,95002367;18,34813228
Hour 16;24,21865619;21,87733713;20,39291144;19,30485393;18,40446691;17,65490269;17,00893396;16,42358762;15,89416752;15,42904457
Hour 17;24,33064049;21,9643371;20,4968084;19,37380112;18,45830295;17,72763543;17,09037566;16,51121734;15,98860748;15,52762291
Hour 18;23,62594286;21,31787507;19,90295319;18,85322776;18,01733321;17,29136115;16,64973822;16,06114914;15,56241857;15,09721645
Hour 19;22,82591081;21,67058045;22,72189215;22,89458019;22,15555016;21,43272745;20,83699246;20,14606396;19,56161375;19,00438633
Hour 20;23,47637623;21,25947555;19,83714752;20,44439433;20,71651119;20,69909933;20,37807233;19,83161368;19,30568065;18,87086024
Hour 21;22,21829323;20,12491534;18,80095674;17,79246907;16,99422003;16,30622555;15,72131997;15,18055899;14,70096565;14,53212213
Hour 22;20,5895173;18,68036325;17,40256194;16,49333435;15,74518296;15,12356413;14,56586856;14,08174984;13,62151077;13,20835859
Hour 23;20,53217752;18,57070413;17,38268145;16,47042716;15,70983355;15,04849284;14,50971557;14,02062784;13,58984454;13,18447605
Hour 24;23,06183711;20,85294336;19,46972337;18,41660108;18,0954742;18,00008454;17,63285681;17,39376304;17,46863525;17,45396712
