,q_0.005,q_0.01,q_0.015,q_0.02,q_0.025,q_0.03,q_0.035,q_0.04,q_0.045,q_0.05
Hour 1,30.97269011776448,27.70666951104719,25.888942729580165,24.392880432826814,23.25234944128925,22.36115337525251,21.55342986046882,20.82213472212988,20.163709579287616,19.567356670079967
Hour 2,33.680596943261655,30.906732722333857,29.099944273536664,27.238529975655453,25.85292951149042,24.848755896979895,23.695705232987432,22.89126099252063,22.084670726500836,21.44237760897243
Hour 3,23.463163276917825,21.2323446067312,19.893005268828187,18.869940898325623,18.005186124589734,17.33880025264077,16.64607548307014,16.011206656615922,15.546533909943498,15.065975545884793
Hour 4,22.654835192464326,20.573824935724467,19.115777344931075,17.992473397554523,17.120085468934885,16.55874967086732,15.988984492157378,15.41551231588307,14.953964292287022,14.48688751182625
Hour 5,27.947658974360504,25.079050288945123,23.007319888422455,21.694258640654816,20.67764912870924,19.864156540639488,19.11417337827067,18.54980881964144,18.001526285772503,17.393922297267878
Hour 6,27.26122120850772,24.883454586844653,22.943472041224744,21.38262765116134,20.44296800059153,19.490559298066163,18.74233268136668,18.143940946358594,17.690555801126635,17.207252099635276
Hour 7,27.587557407876417,24.455699281630448,22.75314345705455,21.53087445610381,20.52376871589805,19.681936647769962,18.968647616453318,18.367320237109507,17.70231072284646,17.063802326737132
Hour 8,27.719995866570567,24.73543565533501,23.18122728674873,21.88581886105204,20.9649090325966,20.140314622821435,19.458357865791992,18.703631410207773,18.14313312029226,17.531154878964724
Hour 9,25.347516412364907,22.73331933348966,21.225337819158884,20.105461722374404,19.442126462416837,18.718063295676313,18.077156786955833,17.42059753657846,17.039302539571587,16.538817177657933
Hour 10,23.108010245724323,21.090669259574817,19.843169024543506,18.952135138697713,17.963541624968116,17.357042982632485,16.718229186458775,16.115393054417734,15.558566763920236,15.124022983725606
Hour 11,23.881426070041794,21.433961872586913,20.155831912508006,19.043334247930517,18.237679420326728,17.47577500091373,16.90492774836777,16.35070561937858,15.822584832714,15.392143164274543
Hour 12,25.321189204697927,23.376599920489745,21.660472264790513,20.504877780612198,19.488155098431122,18.67250436006634,18.033728780362367,17.489993069581963,16.86734096287843,16.34256762699149
Hour 13,26.211686011535967,23.474382553980217,21.99442562155524,20.852298193696136,20.027542804998376,19.154930068869575,18.370351386760817,17.632416412469475,17.081293721651008,16.55053944997995
Hour 14,23.139495538290213,21.02987787382817,19.755410190961932,18.705927177445567,17.733423747731756,16.97960288263112,16.394117668825416,15.868782363471375,15.386981565217603,14.92579853445688
Hour 15,27.00626341483577,24.613879329674628,23.009144476082206,21.810651072297848,20.970578346822087,20.28314120639043,19.438094158695876,18.744863296565434,18.06021682351701,17.500117242632605
Hour 16,28.378569433288273,25.954729253553776,24.426322085017873,23.295617006841475,22.194162490079055,21.305718363968502,20.47753360964621,19.66878683835183,19.066478856488196,18.496967320209986
Hour 17,26.73657494260671,24.089904169366203,22.609538034741494,21.545437611515176,20.582454865427227,19.69407662081702,19.019761006209368,18.272566987226604,17.700979677181735,17.21231947980952
Hour 18,26.92380318765501,24.26205852721663,22.951286215593644,21.6637232241368,20.68264290878578,19.830585223184936,19.099671702697318,18.420429637310743,17.821983656968776,17.276337893664852
Hour 19,26.79548654510275,23.926132772997857,22.51870280672259,21.248179761882383,20.21558843247156,19.485654313235425,18.89619391870784,18.186178258460263,17.708050279893573,17.091693715774277
Hour 20,28.79199513565456,25.75621711396402,24.11809333848197,22.717772402058504,21.666583901259713,20.784264235606173,20.073300021602392,19.381816417723318,18.893142051659964,18.3916249616044
Hour 21,24.909482907293906,21.969739055091807,20.747694798897385,19.697476048862264,18.886390457410606,18.095201590058714,17.38577765308147,16.83676993413286,16.285911136868144,15.781199107808632
Hour 22,28.18058037882662,25.578535953551125,23.80708603137552,22.55273410685846,21.583472828683874,20.695819141625115,19.954649797144718,19.253268961320174,18.656708976758466,18.109026584002926
Hour 23,26.485303536678842,23.837572043491782,22.211030803240057,21.030489104262017,20.041183050146778,19.282463072086763,18.675621288345532,18.16122977963937,17.565821035972625,17.034922222136494
Hour 24,25.794794645518934,23.44352196129359,21.937164319715443,20.920342156379164,20.14669849448761,19.20330570083763,18.370526000975573,32.72953165981922,42.7510687683589,49.543746376519934
