,q_0.005,q_0.01,q_0.015,q_0.02,q_0.025,q_0.03,q_0.035,q_0.04,q_0.045,q_0.05,q_0.5,q_0.95,q_0.955,q_0.96,q_0.965,q_0.97,q_0.975,q_0.98,q_0.985,q_0.99,q_0.995
Hour 1,0.046697778701782225,0.0830876350402832,0.12229253768920897,0.15873069763183595,0.19383435249328615,0.2108331298828125,0.23221365928649904,0.24623985290527345,0.22018412590026853,0.2202239990234375,2.7466583251953125,0.4663536071777348,0.44914358139038124,0.4075430297851566,0.36541316986084016,0.35253787994384794,0.29386596679687527,0.26117698669433614,0.21461162567138692,0.1594928359985353,0.1058726692199708
Hour 2,0.03601198997497559,0.05872047119140625,0.06278113861083984,0.08174491271972656,0.07830571365356445,0.08986186065673826,0.09914104347229004,0.08419615478515624,0.09414698181152342,0.09132975006103515,3.6478692626953126,0.6194435272216803,0.5721957916259771,0.5277026489257818,0.4706030380249028,0.4268130203247074,0.35597620773315464,0.29343674316406276,0.2214705894470217,0.15076187438964858,0.08401973876953132
Hour 3,0.04051835632324218,0.06906855773925781,0.09754862594604491,0.09079103851318358,0.11227138519287108,0.11516524887084958,0.12688638877868652,0.13375103759765622,0.14790872955322262,0.16378408432006833,2.990852737426758,0.32385601043701207,0.4311222610473637,0.42956729125976606,0.3768531112670902,0.3297704544067386,0.300563831329346,0.24872842407226586,0.23165137481689474,0.1604373626708986,0.08715101623535164
Hour 4,0.044519226074218744,0.08751209640502929,0.12381229019165037,0.15473854827880856,0.17728086471557614,0.16364451599121088,0.17273620986938473,0.1915972290039062,0.16095581817626947,0.1781694602966308,2.2788436889648445,0.47743003845214893,0.43978003692627,0.4214595642089848,0.37539062118530314,0.35060696411132847,0.29992269515991243,0.24466120910644557,0.184148391723633,0.12422116851806653,0.07289437103271491
Hour 5,0.06517521133422852,0.09052402954101563,0.13200640411376954,0.17006112060546877,0.19249416542053224,0.22741334381103517,0.2607180660247803,0.28970178527832036,0.2867778602600098,0.14395925903320314,2.66495491027832,0.3752874145507816,0.40954007949829135,0.3876345642089847,0.3439666015625003,0.35154783782959015,0.29915360260009793,0.24342009582519553,0.18935851364135758,0.14733378906250014,0.07480565795898445
Hour 6,0.05873937492370607,0.11101407775878908,0.15500941886901856,0.1812102462768555,0.21487469100952153,0.23110736160278325,0.2644613185882569,0.27240202941894537,0.2788334266662598,0.02355431365966805,0.6117802810668937,0.4169434661865237,0.3792582710266116,0.34447701416015647,0.3082514556884768,0.27038927764892595,0.22574134445190447,0.18294941406250012,0.14596982345581067,0.10570905914306648,0.05795518035888676
Hour 7,0.06821356658935546,0.1298995376586914,0.18790314331054683,0.24510299224853513,0.26976136589050287,0.3020472267150878,0.3412463871002197,0.37521880187988277,0.2779304878234862,0.26950482177734364,1.9290989685058584,0.24263125610351594,0.3268758018493656,0.36705651245117227,0.32386609878540074,0.2782892486572269,0.2500639495849612,0.20269428710937523,0.18622321472167988,0.13218000640869154,0.06884936447143562
Hour 8,0.07553500404357909,0.14001327972412106,0.20287268371582026,0.25690659484863276,0.31320124816894523,0.369122499847412,0.36922902755737297,0.41253343505859363,0.3850607791900633,0.3442078819274901,0.2763826751708969,0.08862187957763695,0.28277793731689493,0.26616071777343786,0.24640375442504917,0.221506791687012,0.22269400405883816,0.19326437988281273,0.14970891265869157,0.10909766693115247,0.061158464050293036
Hour 9,0.08278852081298829,0.16366646957397465,0.22170071411132816,0.29492594146728524,0.3203944969177247,0.3474308738708497,0.3972897739410402,0.4265578155517579,0.4564661922454835,0.26182733535766617,1.787921524047853,0.273860206604004,0.3045843086242677,0.2873286743164064,0.2543826179504396,0.23192026519775402,0.20416547775268565,0.1723459014892579,0.16163132858276377,0.11698666381835945,0.06883226776123051
Hour 10,0.05652450790405272,0.10517244796752927,0.1502795001983642,0.1990788742065429,0.24048505973815912,0.2832759040832519,0.32920901947021475,0.3318985931396483,0.3623688617706297,0.32897989654541004,1.5796105957031266,0.3408424148559575,0.3619905647277837,0.3318195922851567,0.3219451362609867,0.3091622406005863,0.2833213691711429,0.2510752014160159,0.20598769454956078,0.14581008453369157,0.07415073165893563
Hour 11,0.06657230491638184,0.10719085922241213,0.15822321281433108,0.2069128082275391,0.25537739372253426,0.29278530807495123,0.3386977466583253,0.38165192565917977,0.33365385131835945,0.36212168884277357,0.7021492767333974,0.4354433898925784,0.39787647171020535,0.39345770874023467,0.3496279541015627,0.30484319000244164,0.26336283111572284,0.23427875061035172,0.1768523849487306,0.1207121826171876,0.06480011825561528
Hour 12,0.05531273117065428,0.09596682052612301,0.13837841720581048,0.17633477172851555,0.21086970520019524,0.238385137939453,0.27766244583129873,0.30573236389160147,0.2947573677062987,0.32558004760742176,2.0895822143554703,0.32675759887695355,0.44181310501098686,0.39914335327148487,0.3991435653686528,0.3569805770874028,0.3141568069458011,0.2549339202880862,0.20149371414184594,0.14159244079589858,0.08929395446777354
Hour 13,0.07775904541015624,0.13944661865234373,0.1986314071655273,0.2457730056762695,0.3028509559631347,0.32919604568481436,0.37486711654663085,0.4265574554443359,0.39321775360107414,0.10846909332275381,0.8704613494873037,0.3072890396118168,0.4222676856994634,0.37855828247070356,0.3434756263732914,0.36097990722656287,0.3162070808410648,0.2590886352539065,0.20609725341796897,0.14364160766601577,0.1009099494934083
Hour 14,0.07678030662536621,0.13112935409545898,0.19047522583007812,0.2524063369750976,0.2884932842254639,0.3208806427001953,0.3688317180633545,0.38659047546386716,0.42865903015136714,0.2753740005493164,0.11260192871093722,0.34272292327880893,0.3765087020874027,0.4216588073730473,0.3778831695556644,0.3266257278442386,0.2842897567749026,0.2355610778808596,0.19091996154785174,0.1295430816650392,0.06943033523559576
Hour 15,0.08173440170288085,0.13411674880981445,0.19990357017517088,0.25962685394287105,0.2995460128784179,0.34326525878906244,0.38922567749023435,0.3944683990478515,0.40861391830444327,0.3433726501464843,1.2705333709716804,0.18565071105957054,0.39193612289428753,0.4003041687011723,0.37075299835205117,0.35006325531005894,0.31662105560302767,0.26172770690917996,0.20987018966674825,0.17158708190917984,0.08631714630126962
Hour 16,0.07729009475708008,0.14735225372314453,0.18196434516906737,0.22905303344726563,0.2703658504486084,0.30677145996093746,0.35132665519714357,0.3898873016357422,0.4330342632293701,0.15049494171142577,0.6868211364746095,0.3333381805419925,0.39362023773193394,0.36540925292968784,0.37832762832641637,0.3290696044921878,0.2986988143920901,0.25075684204101584,0.1924412773132326,0.13149010009765638,0.08059265289306648
Hour 17,0.05402515296936034,0.09476999053955076,0.14088632240295407,0.18043159027099606,0.22392696762084957,0.24877537994384757,0.2878961673736572,0.26684836425781244,0.292832411956787,0.30173414993286124,3.9185382080078135,0.479254257202149,0.48452274398803763,0.4560094543457036,0.4068434318542485,0.3510726425170902,0.3055984077453616,0.26391972045898465,0.19856795654296897,0.14974924316406266,0.0776384841918946
Hour 18,0.045299055480957015,0.08877981643676755,0.13214104385375972,0.17228760681152339,0.2031282062530517,0.20554105224609365,0.2181807773590087,0.2208833496093749,0.22677010688781724,0.22256643676757798,1.9698197937011734,0.3366880187988286,0.4928727516174322,0.4532313354492193,0.4045326072692876,0.3503241210937504,0.31561535644531286,0.2590152648925784,0.1992577102661135,0.17407748718261737,0.09823982009887705
Hour 19,0.06999281501770022,0.08666684341430667,0.1278172187805176,0.1679962768554688,0.20614970207214364,0.2405451736450196,0.2611107559204103,0.22737454223632825,0.22390905761718763,0.22373329162597672,1.7949489593505845,0.3625584030151369,0.6149597511291508,0.5720695800781254,0.502352779388428,0.4306405105590823,0.37066413879394555,0.29881410217285176,0.22489718627929703,0.1680930404663087,0.08500172042846686
Hour 20,0.06556125640869141,0.12211277008056641,0.16660094261169434,0.22057903289794922,0.2715421199798584,0.30811162948608395,0.3546865558624268,0.3853085327148438,0.42639896392822263,0.46541957855224614,0.39162635803222656,0.25283889770507834,0.2694496536254885,0.2495341491699221,0.23994821548461936,0.24559879302978538,0.2253952980041506,0.19230125427246111,0.14484878540039076,0.11852851867675791,0.06621467590332038
Hour 21,0.09995922584533691,0.18407027282714844,0.27552465019226074,0.3593098648071289,0.4234370002746582,0.453195849609375,0.5131824745178223,0.5809840026855468,0.5858196418762206,0.6477786560058594,0.1514563751220699,0.01335873413085943,0.03809427566528328,0.047583959960937575,0.06098687515258797,0.07229143981933603,0.07308752441406259,0.09551126403808603,0.07840308609008798,0.06952404937744147,0.0662466285705567
Hour 22,0.1368931007385254,0.19451332092285156,0.2787451171875,0.3612682342529297,0.42105722427368164,0.4910858917236328,0.5514353179931641,0.6191976928710937,0.6939193153381348,0.3715415954589844,3.4023399353027344,3.068434333801269,0.7690885925292968,0.604757080078125,0.007962665557861336,0.03335163116455081,0.029347610473632837,0.03825180053710941,0.061169815063476615,0.04640155792236332,0.04398784637451176
Hour 23,0.11536263351440429,0.21627336273193357,0.2816285957336425,0.36022235412597653,0.4428300323486328,0.5261013153076171,0.5967532363891601,0.6634799865722656,0.7266478340148924,0.5447932128906249,3.9216126251220693,4.699635765075682,3.4109178169250467,2.650412988281248,2.523735922241209,2.3821452590942362,1.5811966094970684,0.006157803344726607,0.017137101745605513,0.043248350524902404,0.03365767593383793
Hour 24,0.1375175849914551,0.23838748779296878,0.3425162006378174,0.4238402526855469,0.49283094024658214,0.5817387725830079,0.6283648437500001,0.7107009826660158,0.7483543327331544,0.817801467895508,3.6126059722900408,1.6321817855834992,1.508271357727054,1.4474778808593782,0.8930805831909212,0.4665614746093783,0.111155742645267,0.011303790283203066,0.019988310241699184,0.018677140808105452,0.013526249694824214
