;q_0,005;q_0,01;q_0,015;q_0,02;q_0,025;q_0,03;q_0,035;q_0,04;q_0,045;q_0,05;q_0,5;q_0,95;q_0,955;q_0,96;q_0,965;q_0,97;q_0,975;q_0,98;q_0,985;q_0,99;q_0,995
Hour 1;0,075152763;0,129270378;0,179817931;0,22666099;0,268353567;0,311500556;0,344762581;0,368033418;0,383628051;0,360607173;1,298879884;0,440980922;0,359086798;0,292125962;0,247710967;0,233208341;0,199863796;0,155100499;0,12456197;0,09513456;0,044092893
Hour 2;0,07041073;0,126526533;0,176227241;0,222619389;0,263933626;0,301398165;0,336583844;0,367840537;0,381804486;0,37449918;1,645107592;0,456555961;0,429852277;0,375841027;0,361864136;0,34136804;0,27323846;0,236880246;0,187281875;0,079455524;0,046335929
Hour 3;0,074766923;0,127265146;0,174045383;0,220544292;0,262175245;0,295441075;0,32791105;0,355359458;0,376484615;0,372672799;2,034997554;0,792072995;0,557851778;0,428906208;0,39269011;0,349298471;0,29918813;0,269805934;0,162270556;0,132337775;0,041869196
Hour 4;0,07912115;0,128670375;0,167917389;0,212480328;0,253186358;0,291141728;0,324445726;0,349533386;0,364489476;0,357749357;2,057360244;0,851468663;0,627176165;0,581740056;0,553761225;0,499659166;0,39576453;0,276080914;0,191642507;0,140776;0,104255894
Hour 5;0,084843971;0,139655247;0,186238283;0,23556955;0,277501347;0,319175773;0,353740233;0,382489128;0,398307993;0,391160231;2,257970649;0,884576841;0,603473765;0,542886361;0,47575134;0,40870123;0,328166038;0,258805824;0,209208146;0,158343985;0,039728433
Hour 6;0,082536797;0,137127243;0,192031114;0,236210791;0,2837577;0,324249191;0,362362805;0,39645904;0,413983015;0,396886902;2,246980759;0,813958138;0,608279568;0,461169414;0,361667018;0,286946094;0,246470903;0,185676877;0,134752811;0,067951773;0,04085339
Hour 7;0,078081299;0,13858959;0,195898603;0,245940953;0,296598223;0,341551361;0,381338507;0,416059518;0,442773695;0,432627009;2,133396321;0,663481945;0,444554985;0,403770007;0,355775943;0,266596867;0,240598702;0,158693104;0,130227652;0,10543865;0,041052127
Hour 8;0,08167024;0,149578051;0,212985637;0,27256694;0,326836569;0,374198969;0,417044656;0,456187931;0,482644143;0,4888798;1,759281951;0,55010461;0,454707759;0,383858606;0,352616214;0,307400897;0,267594935;0,238845265;0,216274702;0,171682008;0,132751063
Hour 9;0,080054222;0,144162182;0,204098538;0,26117313;0,309793356;0,35893412;0,40018135;0,439720929;0,466289541;0,465585143;1,787415166;0,725079846;0,483678494;0,40457074;0,354051838;0,31891709;0,244436551;0,203655405;0,176607436;0,145854219;0,046508743
Hour 10;0,067239391;0,120557527;0,171516602;0,218793765;0,260333989;0,301488454;0,336002482;0,367701739;0,383736998;0,356145453;1,627394399;0,469926333;0,424388249;0,35303625;0,314973382;0,251112106;0,203064087;0,147104129;0,116917477;0,084448774;0,050694268
Hour 11;0,066155529;0,118964219;0,168503466;0,213696813;0,254872671;0,288165947;0,318290225;0,347729317;0,363072918;0,421772192;1,655775457;0,267470975;0,234570465;0,232753378;0,21552914;0,196203312;0,176702274;0,150056631;0,120847552;0,087490763;0,054931627
Hour 12;0,061817336;0,112601133;0,160132201;0,20095199;0,240332039;0,274215553;0,306289257;0,330460648;0,34552515;0,357560429;1,590535204;0,261732237;0,269117611;0,262613452;0,242727942;0,219313147;0,190465847;0,161763092;0,128896661;0,092666222;0,052964786
Hour 13;0,062702508;0,10767667;0,152895758;0,189483425;0,235075691;0,27748268;0,309628156;0,354035502;0,369714315;0,412550713;1,416808619;0,272231699;0,283774253;0,271062854;0,248120499;0,229279895;0,202668636;0,170131848;0,135441989;0,097793644;0,055659985
Hour 14;0,062096128;0,109555551;0,149888718;0,19574051;0,241449083;0,287541854;0,332043305;0,374346681;0,404884833;0,425100067;1,367196773;0,300688244;0,303902899;0,290612275;0,26108171;0,236097125;0,206448973;0,171525438;0,136794767;0,097532524;0,058605684
Hour 15;0,070319839;0,12362147;0,169590616;0,21313085;0,254383445;0,291551987;0,327665514;0,37708499;0,405344631;0,47878554;1,549942329;0,305733884;0,295745373;0,281763481;0,264416843;0,236318039;0,20443875;0,171602918;0,135431971;0,096987233;0,053631166
Hour 16;0,07255152;0,133796714;0,187845088;0,236246383;0,280405873;0,325757051;0,36816365;0,399493396;0,448820283;0,421577173;1,917119202;0,286477769;0,2849494;0,281045412;0,257979855;0,231181207;0,202330108;0,170007663;0,137827546;0,098561812;0,056144334
Hour 17;0,071640769;0,12785313;0,182833981;0,233964958;0,280340038;0,320528285;0,359014392;0,39133846;0,421266615;0,444191706;1,843488034;0,282316592;0,293009553;0,280543618;0,257510568;0,234473265;0,204292483;0,173138945;0,13989498;0,100031929;0,055945021
Hour 18;0,067063212;0,124336967;0,174324926;0,219616924;0,265411297;0,306995991;0,344022547;0,37652892;0,393537538;0,390890195;1,684025206;0,271773205;0,272147074;0,264165015;0,241681465;0,22073753;0,195335555;0,165410678;0,130074173;0,095783235;0,056490749
Hour 19;0,066039237;0,122075442;0,174285628;0,223109461;0,268867584;0,312412637;0,349344559;0,373797177;0,393800344;0,385629747;1,680326486;0,291894285;0,285785744;0,270427002;0,256484635;0,234448126;0,211942889;0,179837015;0,147793595;0,109256589;0,070991833
Hour 20;0,065740554;0,12118351;0,169844385;0,217989614;0,265028486;0,30615131;0,345415738;0,371940657;0,398546958;0,415983997;1,451121211;0,297195849;0,277467313;0,263914236;0,244036575;0,232194629;0,213004326;0,187154291;0,156704398;0,123530931;0,079784784
Hour 21;0,07155796;0,131447405;0,186919147;0,237321667;0,283406201;0,324691873;0,363160419;0,394735879;0,419328745;0,413428526;1,38172996;0,312693679;0,253061805;0,237857259;0,223413388;0,204604695;0,194513325;0,168347137;0,140973957;0,104556016;0,066658034
Hour 22;0,077275731;0,131149165;0,179516343;0,228851289;0,275728665;0,318728861;0,353209479;0,379995476;0,405971575;0,37831505;1,41597626;0,370864955;0,209571081;0,212386884;0,200259427;0,188329261;0,16888884;0,150560392;0,122275209;0,087098784;0,055325946
Hour 23;0,077084513;0,132199971;0,18532252;0,232523154;0,27976237;0,315621938;0,353906291;0,386938669;0,396298313;0,366018135;1,616530567;0,431440687;0,278317576;0,262663751;0,240367969;0,198905567;0,176346931;0,152314227;0,128304267;0,073295487;0,045067165
Hour 24;0,089410737;0,163631557;0,231610738;0,297383329;0,360487087;0,414729562;0,468592447;0,517943575;0,546273755;0,53736495;1,980398429;0,704679099;0,46468219;0,42765833;0,331433835;0,286850515;0,2455705;0,188313814;0,162236277;0,114495709;0,058370483
